track|artist|date|spotify_popularity|lastPos|weeks|rank
Black Beatles|Rae Sremmurd|2016-12-24|93|1|13|1
Starboy|The Weeknd|2016-12-24|89|2|12|2
Closer|The Chainsmokers|2016-12-24|100|3|19|3
24K Magic|Bruno Mars|2016-12-24|87|5|9|4
Side To Side|Ariana Grande|2016-12-24|89|4|15|5
Juju On That Beat (TZ Anthem)|Zay Hilfigerrr|2016-12-24|90|6|11|6
Don't Wanna Know|Maroon 5|2016-12-24|89|8|9|7
Let Me Love You|DJ Snake|2016-12-24|90|7|18|8
Heathens|Twenty One Pilots|2016-12-24|93|9|25|9
Bad Things|Machine Gun Kelly|2016-12-24|85|17|6|10
Fake Love|Drake|2016-12-24|92|11|7|11
Broccoli|D.R.A.M.|2016-12-24|85|10|26|12
Scars To Your Beautiful|Alessia Cara|2016-12-24|85|15|15|13
Starving|Hailee Steinfeld|2016-12-24|87|12|19|14
Caroline|Aminé|2016-12-24|88|14|14|15
I Hate U I Love U|gnash|2016-12-24|90|13|34|16
All I Want For Christmas Is You|Mariah Carey|2016-12-24|85|23|16|17
The Greatest|Sia|2016-12-24|66|18|14|18
Treat You Better|Shawn Mendes|2016-12-24|84|20|27|19
Love On The Brain|Rihanna|2016-12-24|76|30|8|20
Cold Water|Major Lazer|2016-12-24|88|19|20|21
Unsteady|X Ambassadors|2016-12-24|78|21|30|22
Love Me Now|John Legend|2016-12-24|89|53|7|23
Bad And Boujee|Karaoke Pro|2016-12-24|5|49|4|24
In The Name Of Love|Martin Garrix|2016-12-24|96|28|17|25
Cheap Thrills|Sia|2016-12-24|78|24|43|26
OOOUUU|Young M.a.|2016-12-24|86|26|15|27
I Feel It Coming|The Weeknd|2016-12-24|86|22|3|28
Party Monster|The Weeknd|2016-12-24|86|16|3|29
Blue Ain't Your Color|Keith Urban|2016-12-24|77|32|13|30
Don't Let Me Down|The Chainsmokers|2016-12-24|93|29|43|31
Can't Stop The Feeling!|Justin Timberlake|2016-12-24|81|25|31|32
All Time Low|Jon Bellion|2016-12-24|78|35|9|33
Chill Bill|Rob $tone|2016-12-24|88|36|19|34
Jingle Bell Rock|Bobby Helms|2016-12-24|74|0|17|35
This Is What You Came For|Calvin Harris|2016-12-24|90|33|32|36
Rockin' Around The Christmas Tree|Brenda Lee|2016-12-24|70|0|16|37
Mercy|Shawn Mendes|2016-12-24|84|50|12|38
Bounce Back|Big Sean|2016-12-24|84|51|5|39
Ride|Twenty One Pilots|2016-12-24|91|38|39|40
This Town|Niall Horan|2016-12-24|81|40|11|41
May We All|Florida Georgia Line|2016-12-24|76|39|15|42
X|21 Savage|2016-12-24|87|41|13|43
Do You Mind|DJ Khaled|2016-12-24|75|37|18|44
Hallelujah|Pentatonix|2016-12-24|80|56|7|45
Needed Me|Rihanna|2016-12-24|83|42|45|46
One Dance|Drake|2016-12-24|87|45|36|47
Redbone|Childish Gambino|2016-12-24|75|0|2|48
You Was Right|Lil Uzi Vert|2016-12-24|84|57|22|49
Reminder|The Weeknd|2016-12-24|84|31|2|50
Used To This|Future|2016-12-24|83|54|5|51
Million Reasons|Lady Gaga|2016-12-24|75|0|5|52
Wanna Be That Song|Brett Eldredge|2016-12-24|75|59|10|53
Sidewalks|The Weeknd|2016-12-24|84|27|2|54
Six Feet Under|The Weeknd|2016-12-24|84|34|2|55
Come And See Me|PARTYNEXTDOOR|2016-12-24|78|60|23|56
No Heart|21 Savage|2016-12-24|85|70|7|57
Water Under The Bridge|Adele|2016-12-24|80|78|5|58
Song For Another Time|Old Dominion|2016-12-24|74|64|11|59
Say You Won't Let Go|James Arthur|2016-12-24|91|76|7|60
Tiimmy Turner|Desiigner|2016-12-24|78|62|20|61
Pick Up The Phone|Karaoke Freaks|2016-12-24|20|58|17|62
Sneakin'|Drake|2016-12-24|85|66|7|63
Too Much Sauce|DJ Esco|2016-12-24|79|73|16|64
Black Barbies|Nicki Minaj X Mike WiLL Made-It|2016-12-24||0|1|65
Secrets|The Weeknd|2016-12-24|82|47|2|66
Better Man|Little Big Town|2016-12-24|73|80|6|67
Me And Your Mama|Childish Gambino|2016-12-24|74|0|2|68
Dirty Laundry|Carrie Underwood|2016-12-24|71|79|8|69
How Far I'll Go|Auli'i Cravalho|2016-12-24|73|52|2|70
Die For You|The Weeknd|2016-12-24|82|43|2|71
1 Night|Lil Yachty|2016-12-24|82|75|18|72
Fresh Eyes|Andy Grammer|2016-12-24|82|65|10|73
Sleep Without You|Brett Young|2016-12-24|74|63|13|74
HandClap|Fitz and The Tantrums|2016-12-24|73|77|11|75
Home|gnash|2016-12-24|69|0|1|76
Play That Song|Train|2016-12-24|70|0|2|77
True Colors|The Weeknd|2016-12-24|82|48|2|78
Chantaje|Shakira|2016-12-24|91|90|4|79
Middle Of A Memory|Cole Swindell|2016-12-24|75|74|20|80
A Guy With A Girl|Blake Shelton|2016-12-24|67|92|4|81
Rockin'|The Weeknd|2016-12-24|83|44|2|82
All I Know|The Weeknd|2016-12-24|81|46|2|83
That's My Girl|Fifth Harmony|2016-12-24|80|84|3|84
Star Of The Show|Thomas Rhett|2016-12-24|73|86|6|85
False Alarm|The Weeknd|2016-12-24|81|55|4|86
Setting The World On Fire|Kenny Chesney|2016-12-24|71|81|19|87
How I'll Always Be|Tim McGraw|2016-12-24|67|91|8|88
All We Know|The Chainsmokers|2016-12-24|95|82|10|89
Selfish|PnB Rock|2016-12-24|25|89|5|90
My Sh*t|A Boogie Wit da Hoodie|2016-12-24|78|99|8|91
You're Welcome|Dwayne Johnson|2016-12-24|71|83|2|92
False Prophets|J. Cole|2016-12-24|70|0|1|93
Alone|Marshmello|2016-12-24|80|0|2|94
Dirt On My Boots|Jon Pardi|2016-12-24|72|0|1|95
Attention|The Weeknd|2016-12-24|80|67|2|96
Ordinary Life|The Weeknd|2016-12-24|80|72|2|97
Sex With Me|Rihanna|2016-12-24|75|100|7|98
What They Want|Russ|2016-12-24|82|95|7|99
Rockabye|Clean Bandit|2016-12-24|96|0|1|100
