track|artist|album
Black Beatles|Rae Sremmurd|SremmLife 2 (Deluxe)
Starboy|The Weeknd|Starboy
Closer|The Chainsmokers|Closer
24K Magic|Bruno Mars|24K Magic
Side To Side|Ariana Grande|Dangerous Woman
Juju On That Beat (TZ Anthem)|Zay Hilfigerrr|Juju On That Beat (TZ Anthem)
Don't Wanna Know|Maroon 5|Don't Wanna Know
Let Me Love You|DJ Snake|Encore
Heathens|Twenty One Pilots|Heathens
Bad Things|Machine Gun Kelly|Bad Things
Fake Love|Drake|Fake Love
Broccoli|D.R.A.M.|Broccoli (feat. Lil Yachty) - Single
Scars To Your Beautiful|Alessia Cara|Know-It-All (Deluxe)
Starving|Hailee Steinfeld|Starving
Caroline|Aminé|Caroline
I Hate U I Love U|gnash|us
All I Want For Christmas Is You|Mariah Carey|Merry Christmas
The Greatest|Sia|This Is Acting (Deluxe Version)
Treat You Better|Shawn Mendes|Illuminate (Deluxe)
Love On The Brain|Rihanna|ANTI
Cold Water|Major Lazer|Cold Water
Unsteady|X Ambassadors|VHS
Love Me Now|John Legend|Love Me Now
Bad And Boujee|Karaoke Pro|Bad and Boujee (Originally Performed by Migas & Lil Uzi Vert) [Instrumental Version]
In The Name Of Love|Martin Garrix|In the Name of Love
Cheap Thrills|Sia|Cheap Thrills
OOOUUU|Young M.a.|OOOUUU
I Feel It Coming|The Weeknd|Starboy
Party Monster|The Weeknd|Starboy
Blue Ain't Your Color|Keith Urban|Ripcord
Don't Let Me Down|The Chainsmokers|Don't Let Me Down
Can't Stop The Feeling!|Justin Timberlake|TROLLS (Original Motion Picture Soundtrack)
All Time Low|Jon Bellion|All Time Low
Chill Bill|Rob $tone|Chill Bill
Jingle Bell Rock|Bobby Helms|Christmas Number 1's
This Is What You Came For|Calvin Harris|This Is What You Came For
Rockin' Around The Christmas Tree|Brenda Lee|Christmas Classics Featuring Rudolph The Red-Nosed Reindeer, Frosty The Snowman & The Little Drummer Boy
Mercy|Shawn Mendes|Illuminate (Deluxe)
Bounce Back|Big Sean|Bounce Back
Ride|Twenty One Pilots|Blurryface
This Town|Niall Horan|This Town
May We All|Florida Georgia Line|Dig Your Roots
X|21 Savage|Savage Mode
Do You Mind|DJ Khaled|Major Key
Hallelujah|Pentatonix|A Pentatonix Christmas
Needed Me|Rihanna|ANTI
One Dance|Drake|Views
Redbone|Childish Gambino|"""Awaken, My Love!"""
You Was Right|Lil Uzi Vert|Lil Uzi Vert Vs. The World
Reminder|The Weeknd|Starboy
Used To This|Future|Used to This
Million Reasons|Lady Gaga|Joanne (Deluxe)
Wanna Be That Song|Brett Eldredge|Illinois
Sidewalks|The Weeknd|Starboy
Six Feet Under|The Weeknd|Starboy
Come And See Me|PARTYNEXTDOOR|PARTYNEXTDOOR 3 (P3)
No Heart|21 Savage|Savage Mode
Water Under The Bridge|Adele|25
Song For Another Time|Old Dominion|Meat and Candy
Say You Won't Let Go|James Arthur|Back from the Edge
Tiimmy Turner|Desiigner|Tiimmy Turner
Pick Up The Phone|Karaoke Freaks|Pick up the Phone (Originally by Young Thug, Travis Scott and Quavo) [Karaoke Instrumental]
Sneakin'|Drake|Sneakin’
Too Much Sauce|DJ Esco|Too Much Sauce
Black Barbies|Nicki Minaj X Mike WiLL Made-It|
Secrets|The Weeknd|Starboy
Better Man|Little Big Town|Better Man
Me And Your Mama|Childish Gambino|"""Awaken, My Love!"""
Dirty Laundry|Carrie Underwood|Storyteller
How Far I'll Go|Auli'i Cravalho|Moana (Original Motion Picture Soundtrack/Deluxe Edition)
Die For You|The Weeknd|Starboy
1 Night|Lil Yachty|Lil Boat
Fresh Eyes|Andy Grammer|Fresh Eyes
Sleep Without You|Brett Young|Brett Young EP
HandClap|Fitz and The Tantrums|Fitz and The Tantrums
Home|gnash|home (feat. johnny yukon)
Play That Song|Train|Play That Song
True Colors|The Weeknd|Starboy
Chantaje|Shakira|Chantaje
Middle Of A Memory|Cole Swindell|You Should Be Here
A Guy With A Girl|Blake Shelton|If I'm Honest
Rockin'|The Weeknd|Starboy
All I Know|The Weeknd|Starboy
That's My Girl|Fifth Harmony|7/27 (Deluxe)
Star Of The Show|Thomas Rhett|Tangled Up (Deluxe)
False Alarm|The Weeknd|Starboy
Setting The World On Fire|Kenny Chesney|Setting the World On Fire
How I'll Always Be|Tim McGraw|Damn Country Music
All We Know|The Chainsmokers|All We Know
Selfish|PnB Rock|Selfish
My Sh*t|A Boogie Wit da Hoodie|Artist
You're Welcome|Dwayne Johnson|Moana (Original Motion Picture Soundtrack/Deluxe Edition)
False Prophets|J. Cole|False Prophets
Alone|Marshmello|Alone
Dirt On My Boots|Jon Pardi|California Sunrise
Attention|The Weeknd|Starboy
Ordinary Life|The Weeknd|Starboy
Sex With Me|Rihanna|ANTI (Deluxe)
What They Want|Russ|What They Want
Rockabye|Clean Bandit|Rockabye (feat. Sean Paul & Anne-Marie)
